Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Hurricane Jeanne,2004,9/15/2004,12:04 p.m.,09/23/04 12:00 p.m.,,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,1243,"1,423,590","severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/7/2004,10:00 a.m.,9/8/2004,12:00 p.m.,Georgia System Operations,Georgia,SERC,2200,150000,"severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/6/2004,1:00 p.m.,9/9/2004,12:00 p.m.,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,3000,99000,"severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/5/2004,1:00 a.m.,9/9/2004,5:00 p.m.,Orlando Utilities Commission,"Orlando, Florida",FRCC,200,65000,"severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/5/2004,7:00 a.m.,9/12/2004,12:00 a.m.,Progress Energy Florida,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,2100,832898,"severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/4/2004,8:00 a.m.,9/6/2004,8:00 a.m.,Florida Power & Light,"West Palm Beach to Daytona Beach, Florida",FRCC,6000,"2,775,093","severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/4/2004,10:00 a.m.,9/12/2004,7:00 p.m.,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,1100,268000,"severe weather, hurricane/tropical storm"
Hurricane Frances,2004,9/3/2004,9:00 p.m.,9/5/2004,2:00 p.m.,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,26000,"severe weather, hurricane/tropical storm"
Tropical Storm Gaston,2004,8/30/2004,6:58 p.m.,8/31/2004,3:35 p.m.,Dominion - Virginia Power/North Carolina Power,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,150,99816,"severe weather, hurricane/tropical storm"
Tropical Storm Gaston,2004,8/29/2004,9: 52 a.m.,8/29/2004,6:00 p.m.,South Carolina Electric and Gas Company,Southeastern South Carolina,SERC,450,125000,"severe weather, hurricane/tropical storm"
Major Transmission Line Tripped due to Lightning Strike,2004,8/20/2004,3:31 p.m.,8/20/2004,9:45 p.m.,National Grid USA,"Boston, Massachusetts",NPCC,22700,380000,"severe weather, thunderstorm, transmission interruption"
Hurricane Charley,2004,8/14/2004,1:00 p.m.,8/14/2004,11:00 p.m.,Progress Energy - Carolinas,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,500,94000,"severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,4:43 p.m.,8/13/2004,8:24 p.m.,Tampa Electric Company,"Eastern Hillsborough, Polk County, Florida",FRCC,250,78000,"severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,10:04 p.m.,8/14/2004,4:23 p.m.,"Utilities Commission, City of New Smyrna Beach","New Smyrna Beach, Florida",FRCC,65,23000,"severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,8:00 a.m.,8/23/2004,12:00 a.m,Progress Energy Florida,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",FRCC,1300,502000,"severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,1:30 p.m.,8/13/2004,12 a.m.,Seminole Electric Cooperative,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC,700,200000,"severe weather, hurricane/tropical storm"
Hurricane Charley,2004,8/13/2004,3:00 p.m.,8/13/2004,11:00 p.m.,Florida Power & Light,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,1400,"1,200,000","severe weather, hurricane/tropical storm"
Two Large Units Tripped,2004,8/9/2004,8:23 a.m.,8/9/2004,11:10 a.m.,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,451.7,259478,generator trip
Fault at Barre Substation,2004,8/4/2004,12:46 p.m.,8/4/2004,1:50 p.m.,Southern California Edison,"Northwest Orange County, California",WECC,480,182000,equipment failure
Severe Storm,2004,8/3/2004,9:00 p.m.,8/4/2004,7:00 a.m.,Commonwealth Edison,Northern Illinois,MAIN,127,127000,"severe weather, storm"
Unplanned Generator Outage/High Loads Made Public Appeal,2004,8/2/2004,10:00 a.m.,8/2/2004,8:00 p.m.,Entergy Transmission,Southeast Texas,SPP,-,-,"generator trip, public appeal, load shedding"
Severe Storms,2004,7/25/2004,10:00 p.m.,7/25/2004,11:00 p.m.,Southern Company,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,61,61004,"severe weather, storm"
Public Appeal,2004,7/24/2004,3:45 p.m.,7/25/2004,9:00 p.m.,Entergy Transmission,Southwest Louisiana in the Acadia Parish vicinity,SPP,-,-,public appeal
Severe Thunderstorms,2004,7/21/2004,5:30 p.m.,7/22/2004,7:00 p.m.,Commonwealth Edison,"Chicago, Illinois",MAIN,Approx. 200,200000,"severe weather, thunderstorm"
Wildfire,2004,7/20/2004,3:44 p.m.,7/20/2004,5:51 p.m.,Puerto Rico Electric Power Authority,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,200,61624,wild fire
Wildfire/Shed Interruptible Load,2004,7/20/2004,2:26 p.m.,7/21/2004,2:00 a.m.,Southern California Edison,"Soledad Canyon near Acton, California",WECC,214,-,"wild fire, load shedding"
Severe Thunderstorms,2004,7/13/2004,4:30 p.m.,7/17/2004,8:00 a. m.,Cinergy Services,"West, West Central and Southern Indiana",ECAR,600,135000,"severe weather, thunderstorm"
Units Tripped,2004,7/13/2004,1:34 p.m.,7/13/2004,5:15 p.m.,City of Tallahassee,"Leon  County, Florida",FRCC,283,42124,generator trip
Severe Thunderstorms,2004,7/7/2004,1:30 p.m.,7/7/2004,11:54 p.m.,Dominion - Virginia Power/North Carolina Power,Central Virginia,SERC,120,88110,"severe weather, thunderstorm"
Fire/Substation Multiple Public Appeals,2004,7/6/2004,6:00 a.m.,8/9/2004,12:00 p.m.,Salt River Project,"Metro Phoenix, Arizona",WECC,-,-,"wild fire, public appeal"
Fire/Substation Multiple Public Appeals,2004,7/6/2004,6:00 a.m.,8/9/2004,12:00 p.m.,Arizona Public Service,"Metro Phoenix, Arizona",WECC,-,-,"wild fire, public appeal"
Thunderstorms,2004,6/23/2004,7:00 p.m.,6/23/2004,8:00 p.m.,Southern Company,Georgia and Alabama,SERC,50,50595,"severe weather, thunderstorm"
Load Shedding,2004,6/23/2004,5:35 p.m.,6/23/2004,7:10 p.m.,Idaho Power Company,Southern Idaho,WECC,157,35000,load shedding
Fault on Line,2004,6/14/2004,7:41 a.m.,6/14/2004,2:39 p.m.,Arizona Public Service,"Phoenix, Arizona",WECC,200,30000,equipment failure
Tornado,2004,6/12/2004,5:37 p.m.,6/12/2004,5:41 p.m.,Lincoln Electric System,"Lincoln, Nebraska",MAPP,428,120212,"severe weather, tornado"
Severe Thunderstorms with Strong Winds,2004,6/2/2004,2:35 a.m.,6/6/2004,6:00 p.m.,American Electric Power,"Tulsa, Oklahoma",ECAR,280,56874,"severe weather, thunderstorm"
Severe  Thunderstorms with Strong Winds,2004,6/2/2004,1:46 a.m.,6/7/2004,4:00 p.m.,American Electric Power,"Shreveport, Louisiana",ECAR,350,59057,"severe weather, thunderstorm"
Severe Storms with Strong Winds,2004,6/1/2004,5:00 p.m.,6/2/2004,1:00 a.m.,TXU Electric Delivery,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas",ERCOT,1900,500000,"severe weather, wind"
Public Appeals,2004,5/28/2004,12:00 p.m.,5/31/2004,12:00 a.m.,Seminole Electric Cooperative,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Public Appeals,2004,5/28/2004,12:00 p.m.,5/31/2004,12:00 a.m.,City of Tallahassee,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Public Appeals,2004,5/28/2004,12:00 p.m.,5/31/2004,12:00 a.m.,Progress Energy Florida,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,0,0,public appeal
Severe Thunderstorms,2004,5/21/2004,11:00 a.m.,5/26/2004,9:00 p.m.,American Electric Power,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",ECAR,303,122600,"severe weather, thunderstorm"
Severe Thunderstorms,2004,5/21/2004,4:00  p.m.,5/24/2004,8:00 p.m.,Detroit Edison,Southeast Michigan,ECAR,630,"Greater than 250,000","severe weather, thunderstorm"
Severe Thunderstorms,2004,5/21/2004,1:00 p.m.,5/25/2004,12:00 p.m.,Consumers Energy,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,200,248209,"severe weather, thunderstorm"
High Winds and Heavy Rains,2004,5/21/2004,5:30 a.m.,5/25/2004,12:00 a.m.,Allegheny Power,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",MAAC,"60 at peak, total 162","94,366 at peak, total 225,353","severe weather, wind, rain"
Severe Thunderstorms,2004,5/21/2004,2:00 a.m.,5/24/2004,12:00 a.m.,Ohio Edison,Akron and Youngstown areas,ECAR,"133 on 5/21/04  between 3:00 a.m. and 4:00  a.m., 392 on 5/21/04 between 4:00 p.m. and 5:00 p.m.",281000,"severe weather, thunderstorm"
Severe Thunderstorms,2004,5/21/2004,2:00 a.m.,5/24/2004,12:00 a.m.,Cleveland Electric Illuminating Company,Cleveland area,ECAR,177 on 5/21/04 between 3:00 p.m. and 5:00 p.m.,127000,"severe weather, thunderstorm"
Strong Thunderstorms,2004,5/11/2004,3:30 p.m.,5/11/2004,6:00 p.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 85,"62,500 at peak","severe weather, thunderstorm"
Heat Storm,2004,5/3/2004,2:30 p.m.,5/3/2004,7:00 p.m.,Southern California Edison,Central and Southern California,WECC,662,Approx. 940,"severe weather, heat"
Strong Winds,2004,4/27/2004,12:35 p.m.,4/30/2004,12:00 p.m.,Snohomish County PUD #1,Snohomish County Washington,WECC,Approx. 300,187000,"severe weather, wind"
Storm with High Winds,2004,4/12/2004,5:30 a.m.,4/12/2004,10:15 a.m.,Florida Power & Light,FPL's service territory mostly in Naples and Ft. Myers Florida,FRCC,250,179000,"severe weather, wind"
Thunderstorms,2004,4/10/2004,8:00 p.m.,4/11/2004,4:00 p.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 100,"85,000 at peak","severe weather, thunderstorm"
Faulty Switch,2004,3/17/2004,1:27 p.m.,3/17/2004,2:06 p.m.,El Paso Electric Company,"El Paso, Texas",WECC,Approx. 300,"Approx. 100,000",equipment failure
Inadequate Resources,2004,3/8/2004,6:22 p.m.,3/8/2004,6:55 p.m.,Southern California Edison,Southern California not including LA,WECC,300,"Approx. 70,000",fuel supply emergency
Severe Storm,2004,3/7/2004,6:30 p.m.,3/9/2004,8:00 a.m.,Duke Energy Company/Duke Power Control Area,North and South Carolina,SERC,1000,206000,"severe weather, storm"
High Winds - Severe Storm,2004,3/4/2004,5:00 a.m.,3/16/2004,2:45 p.m.,Electric Reliability Council of Texas,North Texas,ERCOT,Less than 300,63000,"severe weather, wind"
Severe Storm,2004,2/26/2004,12:00 a.m.,2/26/2004,1:30 a.m.,Southern Company,Georgia,SERC,10,47165,"severe weather, storm"
Winter Storm,2004,2/25/2004,12:01 a.m.,2/26/2004,10:00 a.m.,Pacific Gas and Electric  Company,Northern California,WECC,240,505000,"severe weather, winter storm"
Lightning struck Intertie Breaker,2004,2/17/2004,2:25 p.m.,2/17/2004,11:57 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,220,PG&E,"severe weather, thunderstorm"
Public Appeal to Reduce Load,2004,2/14/2004,8:00 p.m.,2/16/2004,12 noon,National Grid (Niagara Mohawk),"Lake Colby, Lake Placid, Tupper Lake",NPCC,Approx. 30,18600,public appeal
Ice Storm,2004,2/5/2004,8:00 p.m.,2/9/2004,8:00 p.m.,Allegheny Power,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,60,87456,"severe weather, winter storm"
Ice Storm,2004,1/28/2004,1:09 p.m.,1/29/2004,5:00 a.m.,Baltimore Gas & Electric Company,"Harford County, Maryland",MAAC,Approx. 300,"Approx. 70,000","severe weather, winter storm"
Ice Storm,2004,1/26/2004,2:00 p.m.,1/27/2004,8:00 p.m.,Southern Company,North and Central area of Georgia,SERC,Less than 150,30689,"severe weather, winter storm"
Ice Storm,2004,1/26/2004,10:00 a.m.,1/28/2004,8:00 a.m.,South Carolina Electric and Gas,Central South Carolina,SERC,500-700,150000,"severe weather, winter storm"
Ice Storm,2004,1/26/2004,4:00 p.m.,1/29/2004,6:30 a.m.,Progress Energy - Carolinas (Carolina Power and Light),Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,475,9905,"severe weather, winter storm"
Public Appeal to Reduce Load,2004,1/14/2004,6:00 a.m.,1/17/2004,12:00 noon,National Grid (New York),"Lake Placid/Saranac, New York",NPCC,100,18600,public appeal
Public Appeal to Reduce Load,2004,1/8/2004,3:00 p.m.,1/10/2004,7:00 p.m.,National Grid (New York),"Lake Placid/Saranac, New York",NPCC,100,18600,public appeal
Snow Storm,2004,1/7/2004,Midnight,1/10/2004,5:00 p.m.,Puget Sound Energy,King County,WECC,150,145000,"severe weather, winter storm"
Winter Storm,2004,1/1/2004,7:30 a.m.,1/2/2004,4:00 p.m.,Pacific Gas and Electric Company,Northern California,WECC,170,263000,"severe weather, winter storm"
Winter Storm,2003,12/28/2003,9:00 p.m.,1/1/2004,11:30 a.m.,Pacific Gas and Electric,Northern California,WECC,160,241000,"severe weather, winter storm"
Earthquake,2003,12/22/2003,11:15 a.m.,12/22/2003,11:16 a.m.,Pacific Gas and Electric,Central California Coast,WECC,220,109750,earthquake
Cable Failure,2003,12/20/2003,3:51 p.m.,12/21/2003,11:45 p.m.,Pacific Gas and Electric,"San Francisco, California",WECC,150,120000,equipment failure
Transmission Equipment,2003,12/5/2003,7:00 a.m.,12/5/2003,8:00 p.m.,Upper Peninsula Power Company,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,14,2,transmission interruption
Transmission Equipment,2003,12/5/2003,4:49 a.m.,12/5/2003,6:25 a.m.,City of Homestead,State of Florida - Dade County,FRCC,27,16500,transmission interruption
Fault on 138 KV line,2003,12/4/2003,10:15 p.m.,12/8/2003,8:30 a.m.,Wisconsin Electric Power Company,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,500,36000,equipment failure
Fault on 138 KV line,2003,12/4/2003,10:34 p.m.,12/7/2003,8:30 a.m.,"American Transmission Company, LLC",Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,650,6 (utilities),equipment failure
High Winds,2003,12/4/2003,7:00 a.m.,12/8/2003,7:00 a.m.,Puget Sound Energy,Eastern portions of King County and Pierce County,WECC,175,"200,000 (Peak)","severe weather, wind"
Wild Fire _ Transmission Equipment,2003,12/1/2003,6:16 p.m.,12/1/2003,8:11 p.m.,REMVEC,Cape Cod and part of SE Massachusetts,NPCC,630,300000,
Major Wind Storm,2003,11/13/2003,11:00 a.m.,11/14/2003,7:30 a.m.,Potomac Electric Power Company (Pepco),"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,Est. 400,"104,195 at 5:23 p.m. 11/13/03","severe weather, wind"
Storm with High Winds,2003,11/13/2003,7:30 a.m.,11/14/2003,6:30 a.m.,Niagara Mohawk,New York,NPCC,Approx. 180,50280,"severe weather, wind"
High Winds,2003,11/13/2003,6:00 a.m.,11/16/2003,4:00 p.m.,Baltimore Gas and Electric,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,375,110000,"severe weather, wind"
Wind Storm,2003,11/13/2003,1:40 p.m.,11/13/2003,3:51 p.m.,Dominion-Virginia Power/ North Carolina Power,"Northern Virginia, Richmond area, Eastern Virginia",SERC,300,67000,"severe weather, wind"
High Winds,2003,11/12/2003,5:00 p.m.,11/12/2003,7:00 p.m.,Com Ed,Northern Illinois,MAIN,Est. 371.1,51000,"severe weather, wind"
Wind Storm,2003,11/12/2003,5:00 p.m.,11/16/2003,6:00 p.m.,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,245000,"severe weather, wind"
Storm with High Winds,2003,11/12/2003,6:00 p.m.,11/16/2003,5:00 p.m.,DTE Energy,Southeastern Michigan,ECAR,Est. 75,160000,"severe weather, wind"
Tornado,2003,11/5/2003,3:16 p.m.,11/5/2003,3:54 p.m.,PJM Interconnection,Maryland/Virginia border,MAAC,350,1,"severe weather, tornado"
Wild Fire,2003,10/26/2003,1:44 a.m.,11/18/2003,10:54 a.m.,San Diego Gas and Electric Company,"San Diego County, California",WECC,N/A,"108,000 (Dist. And Trans. Combined)",wild fire
Hurricane Isabel,2003,9/18/2003,4:20 p.m.,9/28/2003,6:00 p.m.,Potomac Electric Power Company (Pepco),"District of Columbia, Montgomery and Prince George's Counties, Maryland",MAAC,NA,"Over 530,000 peak on 9/19/03","severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,9:00 p.m.,9/21/2003,5:00 p.m.,PPL Electric Utilities,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,1300,425000,"severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,3:32 p.m.,9/19/2003,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Triangle and Tridad (Greensboro _ High Point)  Areas North Carolina - Northern Region,SERC,500-700,"Under 50,000","severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,2:00 p.m.,9/24/2003,12:00 a.m.,Allegheny Power,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,3085,237366,"severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,11:45 a.m.,9/18/2003,12:00 a.m.,Carolina Power and Light,Eastern North Carolina,SERC,peak 1655,"peak 320,00 9/18/03 7:00 p.m.","severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,12:00 noon,9/26/2003,10:50 p.m.,Baltimore Gas and Electric,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,2000,650000,"severe weather, hurricane/tropical storm"
Hurricane Isabel,2003,9/18/2003,8:20 a.m.,9/29/2003,10:42 p.m.,Dominion-Virginia Power/ North Carolina Power,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,6512,1.8 million,"severe weather, hurricane/tropical storm"
Transmission  Equipment,2003,9/7/2003,5:19 a.m.,9/7/2003,6:00 p.m.,"American Transmission Company, LLC",Upper Michigan Peninsula,MAIN,310,4 (industrial),transmission interruption
Severe Thunderstorms,2003,8/26/2003,4:22 p.m.,8/31/2003,6:00 p.m.,Potomac Electric Power Company,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,1500,153000,"severe weather, thunderstorm"
Severe Thunderstorms,2003,8/26/2003,4:00 p.m.,8/29/2003,12:00 p.m.,Baltimore Gas and Electric,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,625,"93,000 at peak 133,000 cumulative","severe weather, thunderstorm"
Unknown *,2003,8/14/2003,4:11 p.m.,8/15/2003,9:03 p.m.,Consolidated Edison Co of  New York,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,11202,"3,125,350",unknown
Unknown *,2003,8/14/2003,4:10 p.m.,8/16/2003,8:27 p.m.,First Energy Corporation,"Northeast, Ohio",ECAR,7000,"1,203,000",unknown
Unknown *,2003,8/14/2003,4:09 p.m.,8/16/2003,7:00 a.m.,Detroit Edison,Southeastern Michigan including all of Detroit,ECAR,11000,"2,100,000",unknown
Unknown *,2003,8/14/2003,4:10 p.m.,8/15/2003,6:00 a.m.,"PJM Interconnection, LLC","Northern New Jersey Erie, Pennsylvania  area",MAAC,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",NA,unknown
Unknown *,2003,8/14/2003,3:00 p.m.,8/17/2003,5:00 p.m.,Midwest Independent System Operator,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,ECAR,"Approx. 18,500 MW, in MISO area: First Energy 7,500, Detroit Edison 9,200, Consumers Energy 1,800",NA,unknown
